division,team,wins,losses,wp,gb,payroll,year,extra
Central,Milwaukee Brewers,78,83,.484,8,26564840.0,1997,
Central,Minnesota Twins,68,94,.420,18½,32197500.0,1997,
Central,Kansas City Royals,67,94,.416,19,33868149.0,1997,
West,Seattle Mariners,90,72,.556,0,46298970.0,1997,
West,Anaheim Angels,84,78,.519,6,46684364.0,1997,
West,Texas Rangers,77,85,.475,13,44591013.0,1997,
West,Oakland Athletics,65,97,.401,25,12879889.0,1997,
East,New York Yankees,114,48,.704,0,73963698.0,1998,
East,Boston Red Sox,92,70,.568,22,59547000.0,1998,
East,Toronto Blue Jays,88,74,.543,26,37618500.0,1998,
East,Baltimore Orioles,79,83,.488,35,74170921.0,1998,
East,Tampa Bay Devil Rays,63,99,.389,51,27645000.0,1998,
Central,Cleveland Indians,89,73,.549,0,56843441.0,1998,
Central,Chicago White Sox,80,82,.494,9,37880000.0,1998,
Central,Kansas City Royals,72,89,.447,16½,35610000.0,1998,
Central,Minnesota Twins,70,92,.432,19,22027500.0,1998,
Central,Detroit Tigers,65,97,.401,24,23318980.0,1998,
West,Texas Rangers,88,74,.543,0,62755368.0,1998,
West,Anaheim Angels,85,77,.525,3,54189000.0,1998,
West,Seattle Mariners,76,85,.472,11½,44860014.0,1998,
West,Oakland Athletics,74,88,.457,14,18585114.0,1998,
East,New York Yankees,98,64,.605,0,91990955.0,1999,
East,Boston Red Sox,94,68,.580,4,72330656.0,1999,
East,Toronto Blue Jays,84,78,.519,14,48847300.0,1999,
East,Baltimore Orioles,78,84,.481,20,75443363.0,1999,
East,Tampa Bay Devil Rays,69,93,.426,29,37860451.0,1999,
Central,Cleveland Indians,97,65,.599,0,73531692.0,1999,
Central,Chicago White Sox,75,86,.466,21½,24535000.0,1999,
Central,Detroit Tigers,69,92,.429,27½,36954666.0,1999,
Central,Kansas City Royals,64,97,.398,32½,16557000.0,1999,
Central,Minnesota Twins,63,97,.394,33,15845000.0,1999,
West,Texas Rangers,95,67,.586,0,80801598.0,1999,
West,Oakland Athletics,87,75,.537,8,25208858.0,1999,
West,Seattle Mariners,79,83,.488,16,45351254.0,1999,
West,Anaheim Angels,70,92,.432,25,51340257.0,1999,
East,New York Yankees,87,74,.540,0,92538260.0,2000,
East,Boston Red Sox,85,77,.525,2½,77940333.0,2000,
East,Toronto Blue Jays,83,79,.512,4½,46238333.0,2000,
East,Baltimore Orioles,74,88,.457,13½,81447435.0,2000,
East,Tampa Bay Devil Rays,69,92,.429,18,62765129.0,2000,
Central,Chicago White Sox,95,67,.586,0,31133500.0,2000,
Central,Cleveland Indians,90,72,.556,5,75880971.0,2000,
Central,Detroit Tigers,79,83,.488,16,58265167.0,2000,
Central,Kansas City Royals,77,85,.475,18,23433000.0,2000,
Central,Minnesota Twins,69,93,.426,26,16519500.0,2000,
West,Oakland Athletics,91,70,.565,0,31971333.0,2000,
West,Seattle Mariners,91,71,.562,½,58915000.0,2000,
West,Anaheim Angels,82,80,.506,9½,51464167.0,2000,
West,Texas Rangers,71,91,.438,20½,70795921.0,2000,
East,New York Yankees,95,65,.594,0,109791893.0,2001,
East,Boston Red Sox,82,79,.509,13½,109558908.0,2001,
East,Toronto Blue Jays,80,82,.494,16,75798500.0,2001,
East,Baltimore Orioles,63,98,.391,32½,72426328.0,2001,
East,Tampa Bay Devil Rays,62,100,.383,34,54798500.0,2001,
Central,Cleveland Indians,91,71,.562,0,91974979.0,2001,
Central,Minnesota Twins,85,77,.525,6,24350000.0,2001,
Central,Chicago White Sox,83,79,.512,8,62363000.0,2001,
Central,Detroit Tigers,66,96,.407,25,49831167.0,2001,
Central,Kansas City Royals,65,97,.401,26,35643000.0,2001,
West,Seattle Mariners,116,46,.716,0,75652500.0,2001,
West,Oakland Athletics,102,60,.630,13,33810750.0,2001,
West,Anaheim Angels,75,87,.463,41,46568180.0,2001,
West,Texas Rangers,73,89,.451,43,88504421.0,2001,
East,New York Yankees,103,58,.640,--,125928583.0,2002,
East,Boston Red Sox,93,69,.574,10½,108366060.0,2002,
East,Toronto Blue Jays,78,84,.481,25½,76864333.0,2002,
East,Baltimore Orioles,67,95,.414,36½,60493487.0,2002,
East,Tampa Bay Devil Rays,55,106,.342,48,34380000.0,2002,
Central,Minnesota Twins,94,67,.584,--,40225000.0,2002,
Central,Chicago White Sox,81,81,.500,13½,57052833.0,2002,
Central,Cleveland Indians,74,88,.457,20½,78909448.0,2002,
Central,Kansas City Royals,62,100,.383,32½,47257000.0,2002,
Central,Detroit Tigers,55,106,.342,39,55048000.0,2002,
West,Oakland Athletics,103,59,.636,--,39679746.0,2002,
West,Anaheim Angels,99,63,.611,4,61721667.0,2002,
West,Seattle Mariners,93,69,.574,10,80282668.0,2002,
West,Texas Rangers,72,90,.444,31,105302124.0,2002,
East,New York Yankees,101,61,1,.623,,2003,"$152,749,814"
East,Boston Red Sox,95,67,0,.586,6.0,2003,"$99,946,500"
East,Toronto Blue Jays,86,76,0,.531,15.0,2003,"$51,269,000"
East,Baltimore Orioles,71,91,1,.438,30.0,2003,"$73,877,500"
East,Tampa Bay Devil Rays,63,99,0,.389,38.0,2003,"$19,630,000"
Central,Minnesota Twins,90,72,0,.556,,2003,"$55,505,000"
Central,Chicago White Sox,86,76,0,.531,4.0,2003,"$51,010,000"
Central,Kansas City Royals,83,79,0,.512,7.0,2003,"$40,518,000"
Central,Cleveland Indians,68,94,0,.420,22.0,2003,"$48,584,834"
Central,Detroit Tigers,43,119,0,.265,47.0,2003,"$49,168,000"
West,Oakland Athletics,96,66,0,.593,,2003,"$50,260,834"
West,Seattle Mariners,93,69,0,.574,3.0,2003,"$86,959,167"
West,Anaheim Angels,77,85,0,.475,19.0,2003,"$79,031,667"
West,Texas Rangers,71,91,0,.438,25.0,2003,"$103,491,667"
East,New York Yankees,101,61,0,.623,,2004,"$182,835,513"
East,Boston Red Sox,98,64,0,.605,3.0,2004,"$125,208,542"
East,Baltimore Orioles,78,84,0,.481,23.0,2004,"$51,212,653"
East,Tampa Bay Devil Rays,70,91,0,.435,,2004,"$29,506,667"
East,Toronto Blue Jays,67,94,0,.416,,2004,"$50,017,000"
Central,Minnesota Twins,92,70,0,.568,,2004,"$53,585,000"
Central,Chicago White Sox,83,79,0,.512,9.0,2004,"$76,212,500"
Central,Cleveland Indians,80,82,0,.494,12.0,2004,"$34,569,300"
Central,Detroit Tigers,72,90,0,.444,20.0,2004,"$46,353,554"
Central,Kansas City Royals,58,104,0,.358,34.0,2004,"$47,609,000"
West,Anaheim Angels,92,70,0,.568,,2004,"$101,084,667"
West,Oakland Athletics,91,71,0,.562,1.0,2004,"$59,825,167"
West,Texas Rangers,89,73,0,.549,3.0,2004,"$54,825,973"
West,Seattle Mariners,63,99,0,.389,29.0,2004,"$81,543,833"
East,New York Yankees,95,67,0,.586,,2005,"$208,206,817"
East,Boston Red Sox,95,67,0,.586,,2005,"$123,505,125"
East,Toronto Blue Jays,80,82,0,.494,15.0,2005,"$45,719,500"
East,Baltimore Orioles,74,88,0,.457,21.0,2005,"$73,914,333"
East,Tampa Bay Devil Rays,67,95,0,.414,28.0,2005,"$29,363,067"
Central,Chicago White Sox,99,63,0,.611,,2005,"$75,178,000"
Central,Cleveland Indians,93,69,0,.574,6.0,2005,"$41,502,500"
Central,Minnesota Twins,83,79,0,.512,16.0,2005,"$56,186,000"
Central,Detroit Tigers,71,91,0,.438,28.0,2005,"$69,092,000"
Central,Kansas City Royals,56,106,0,.346,43.0,2005,"$36,881,000"
West,Los Angeles Angels of Anaheim,95,67,0,.586,,2005,"$97,725,322"
West,Oakland Athletics,88,74,0,.543,7.0,2005,"$55,425,762"
West,Texas Rangers,79,83,0,.488,16.0,2005,"$55,849,000"
West,Seattle Mariners,69,93,0,.426,26.0,2005,"$87,754,334"
East,New York Yankees,97,65,0,.599,,2006,"$194,663,079"
East,Toronto Blue Jays,87,75,0,.537,10.0,2006,"$71,915,000"
East,Boston Red Sox,86,76,0,.531,11.0,2006,"$120,099,824"
East,Baltimore Orioles,70,92,0,.432,27.0,2006,"$72,585,582"
East,Tampa Bay Devil Rays,61,101,0,.377,36.0,2006,"$35,417,967"
Central,Minnesota Twins,96,66,0,.593,,2006,"$63,396,006"
Central,Detroit Tigers,95,67,0,.586,1.0,2006,"$82,612,866"
Central,Chicago White Sox,90,72,0,.556,6.0,2006,"$102,750,667"
Central,Cleveland Indians,78,84,0,.481,18.0,2006,"$56,031,500"
Central,Kansas City Royals,62,100,0,.383,34.0,2006,"$47,294,000"
West,Oakland Athletics,93,69,0,.574,,2006,"$62,243,079"
West,Los Angeles Angels,89,73,0,.549,4.0,2006,"$103,472,000"
West,Texas Rangers,80,82,0,.494,13.0,2006,"$68,228,662"
West,Seattle Mariners,78,84,0,.481,15.0,2006,"$87,959,833"
East,Boston Red Sox,96,66,0,.593,,2007,"$143,026,214"
East,New York Yankees,94,68,0,.580,2.0,2007,"$189,639,045"
East,Toronto Blue Jays,83,79,0,.512,13.0,2007,"$81,942,800"
East,Baltimore Orioles,69,93,0,.426,27.0,2007,"$93,554,808"
East,Tampa Bay Devil Rays,66,96,0,.407,30.0,2007,"$24,123,500"
Central,Cleveland Indians,96,66,0,.593,,2007,"$61,673,267"
Central,Detroit Tigers,88,74,0,.543,8.0,2007,"$95,180,369"
Central,Minnesota Twins,79,83,0,.488,17.0,2007,"$71,439,500"
Central,Chicago White Sox,72,90,0,.444,24.0,2007,"$108,671,833"
Central,Kansas City Royals,69,93,0,.426,27.0,2007,"$67,116,500"
West,Los Angeles Angels,94,68,0,.580,,2007,"$109,251,333"
West,Seattle Mariners,88,74,0,.543,6.0,2007,"$106,460,833"
West,Oakland Athletics,76,86,0,.469,18.0,2007,"$79,366,940"
West,Texas Rangers,75,87,0,.463,19.0,2007,"$68,318,675"
East,Tampa Bay Rays,97,65,0,.599,,2008,"$43,820,598"
East,Boston Red Sox,95,67,0,.586,2.0,2008,"$133,440,037"
East,New York Yankees,89,73,0,.549,8.0,2008,"$209,081,579"
East,Toronto Blue Jays,86,76,0,.531,11.0,2008,"$98,641,957"
East,Baltimore Orioles,68,93,0,.422,,2008,"$67,196,248"
Central,Chicago White Sox,89,74,0,.546,,2008,"$121,152,667"
Central,Minnesota Twins,88,75,0,.540,1.0,2008,"$62,182,767"
Central,Cleveland Indians,81,81,0,.500,,2008,"$78,970,067"
Central,Kansas City Royals,75,87,0,.463,,2008,"$58,245,500"
Central,Detroit Tigers,74,88,0,.457,,2008,"$138,685,197"
West,Los Angeles Angels,100,62,0,.617,,2008,"$119,216,333"
West,Texas Rangers,79,83,0,.488,21.0,2008,"$68,239,551"
West,Oakland Athletics,75,86,0,.466,,2008,"$47,967,126"
West,Seattle Mariners,61,101,0,.377,39.0,2008,"$117,993,982"
East,New York Yankees,103,59,0,.636,,2009,"$201,449,189"
East,Boston Red Sox,95,67,0,.586,8.0,2009,"$121,745,999"
East,Tampa Bay Rays,84,78,0,.519,19.0,2009,"$63,313,034"
East,Toronto Blue Jays,75,87,0,.463,28.0,2009,"$80,538,300"
East,Baltimore Orioles,64,98,0,.395,39.0,2009,"$67,101,666"
Central,Minnesota Twins,87,76,0,.534,,2009,"$65,299,266"
Central,Detroit Tigers,86,77,0,.528,1.0,2009,"$115,085,145"
Central,Chicago White Sox,79,83,0,.488,,2009,"$96,068,500"
Central,Cleveland Indians,65,97,0,.401,,2009,"$81,579,166"
Central,Kansas City Royals,65,97,0,.401,,2009,"$70,519,333"
West,Los Angeles Angels,97,65,0,.599,,2009,"$113,709,000"
West,Texas Rangers,87,75,0,.537,10.0,2009,"$68,178,798"
West,Seattle Mariners,85,77,0,.525,12.0,2009,"$98,904,166"
West,Oakland Athletics,75,87,0,.463,22.0,2009,"$62,310,000"
East,Tampa Bay Rays,96,66,0,.593,,2010,"$71,923,471"
East,New York Yankees,95,67,0,.586,1.0,2010,"$206,333,389"
East,Boston Red Sox,89,73,0,.549,7.0,2010,"$162,747,333"
East,Toronto Blue Jays,85,77,0,.525,11.0,2010,"$62,689,357"
East,Baltimore Orioles,66,96,0,.407,30.0,2010,"$81,612,500"
Central,Minnesota Twins,94,68,0,.580,,2010,"$97,559,167"
Central,Chicago White Sox,88,74,0,.543,6.0,2010,"$108,273,197"
Central,Detroit Tigers,81,81,0,.500,13.0,2010,"$122,864,929"
Central,Cleveland Indians,69,93,0,.426,25.0,2010,"$61,203,967"
Central,Kansas City Royals,67,95,0,.414,27.0,2010,"$72,267,710"
West,Texas Rangers,90,72,0,.556,,2010,"$55,250,545"
West,Oakland Athletics,81,81,0,.500,9.0,2010,"$51,654,900"
West,Los Angeles Angels,80,82,0,.494,10.0,2010,"$105,013,667"
West,Seattle Mariners,61,101,0,.377,29.0,2010,"$98,376,667"
East,New York Yankees,97,65,0,.599,,2011,"$202,689,028"
East,Tampa Bay Rays,91,71,0,.562,6.0,2011,"$41,053,571"
East,Boston Red Sox,90,72,0,.556,7.0,2011,"$161,762,475"
East,Toronto Blue Jays,81,81,0,.500,16.0,2011,"$62,567,800"
East,Baltimore Orioles,69,93,0,.426,28.0,2011,"$85,304,038"
Central,Detroit Tigers,95,67,0,.586,,2011,"$105,700,231"
Central,Cleveland Indians,80,82,0,.494,15.0,2011,"$49,190,566"
Central,Chicago White Sox,79,83,0,.488,16.0,2011,"$127,789,000"
Central,Kansas City Royals,71,91,0,.438,24.0,2011,"$36,126,000"
Central,Minnesota Twins,63,99,0,.389,32.0,2011,"$112,737,000"
West,Texas Rangers,96,66,0,.593,,2011,"$92,299,264"
West,Los Angeles Angels,86,76,0,.531,10.0,2011,"$138,543,166"
West,Oakland Athletics,74,88,0,.457,22.0,2011,"$66,536,500"
West,Seattle Mariners,67,95,0,.414,29.0,2011,"$86,524,600"
