division,team,wins,losses,wp,gb,payroll,year,extra
East,New York Yankees,33,27,0,.550,7.0,2020,
East,Toronto Blue Jays,32,28,0,.533,8.0,2020,
East,Baltimore Orioles,25,35,0,.417,15.0,2020,
East,Boston Red Sox,24,36,0,.400,16.0,2020,
Central,Minnesota Twins,36,24,0,.600,,2020,
Central,Chicago White Sox,35,25,0,.583,1.0,2020,
Central,Cleveland Indians,35,25,0,.583,1.0,2020,
Central,Kansas City Royals,26,34,0,.433,10.0,2020,
Central,Detroit Tigers,23,35,0,.397,12.0,2020,
West,Oakland Athletics,36,24,0,.600,,2020,
West,Houston Astros,29,31,0,.483,7.0,2020,
West,Seattle Mariners,27,33,0,.450,9.0,2020,
West,Los Angeles Angels,26,34,0,.433,10.0,2020,
West,Texas Rangers,22,38,0,.367,14.0,2020,
East,Tampa Bay Rays,100,62,0,.617,,2021,
East,Boston Red Sox,92,70,0,.568,8.0,2021,
East,New York Yankees,92,70,0,.568,8.0,2021,
East,Toronto Blue Jays,91,71,0,.562,9.0,2021,
East,Baltimore Orioles,52,110,0,.321,48.0,2021,
Central,Chicago White Sox,93,69,0,.586,,2021,
Central,Cleveland Indians,80,82,0,.494,13.0,2021,
Central,Detroit Tigers,77,85,0,.475,16.0,2021,
Central,Kansas City Royals,74,88,0,.457,19.0,2021,
Central,Minnesota Twins,73,89,0,.451,20.0,2021,
West,Houston Astros,95,67,0,.586,,2021,
West,Seattle Mariners,90,72,0,.556,5.0,2021,
West,Oakland Athletics,86,76,0,.531,9.0,2021,
West,Los Angeles Angels,77,85,0,.754,18.0,2021,
West,Texas Rangers,60,102,0,.370,35.0,2021,
East,New York Yankees,99,63,0,.611,,2022,
East,Toronto Blue Jays,92,70,0,.568,7.0,2022,
East,Tampa Bay Rays,86,76,0,.531,13.0,2022,
East,Baltimore Orioles,83,79,0,.512,16.0,2022,
East,Boston Red Sox,78,84,0,.481,21.0,2022,
Central,Cleveland Guardians,92,70,0,.568,,2022,
Central,Chicago White Sox,81,81,0,.500,11.0,2022,
Central,Minnesota Twins,78,84,0,.481,14.0,2022,
Central,Detroit Tigers,66,96,0,.407,26.0,2022,
Central,Kansas City Royals,65,97,0,.401,27.0,2022,
West,Houston Astros,106,56,0,.654,,2022,
West,Seattle Mariners,90,72,0,.556,16.0,2022,
West,Los Angeles Angels,73,89,0,.451,33.0,2022,
West,Texas Rangers,68,94,0,.420,38.0,2022,
West,Oakland Athletics,60,102,0,.370,46.0,2022,
East,Baltimore Orioles,101,61,0,.623,,2023,
East,Tampa Bay Rays,99,63,0,.611,2.0,2023,
East,Toronto Blue Jays,89,73,0,.549,12.0,2023,
East,New York Yankees,82,80,0,.506,19.0,2023,
East,Boston Red Sox,78,84,0,.481,23.0,2023,
Central,Minnesota Twins,87,75,0,.537,,2023,
Central,Detroit Tigers,78,84,0,.481,9.0,2023,
Central,Cleveland Guardians,76,86,0,.469,11.0,2023,
Central,Chicago White Sox,61,101,0,.377,26.0,2023,
Central,Kansas City Royals,56,106,0,.346,31.0,2023,
West,Houston Astros,90,72,0,.556,,2023,
West,Texas Rangers,90,72,0,.556,,2023,
West,Seattle Mariners,88,74,0,.543,2.0,2023,
West,Los Angeles Angels,73,89,0,.451,17.0,2023,
West,Oakland Athletics,50,112,0,.309,40.0,2023,
